artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,valence,top_200
Charlie Cunningham,Lights Off,1XtCRTHD8LzpI47zhWzWJq,64.0,0.862,0.611,232400.0,0.33,G,0.18,-11.475,0.0504,150.075,0.418,0
Children Songs Company,Small Bita,6rN8vcRlBa5ANzaGoJKP3V,0.0,0.00464,0.606,202000.0,0.716,D,0.0835,-10.505,0.0284,119.987,0.85,0
Cherry Glazerr,Told You I'd Be with the Guys,7gxakgZXtvTcBjaxOAZ08G,48.0,0.000182,0.526,273947.0,0.856,B,0.361,-2.43,0.0291,175.964,0.52,0
Star Cast,Spotlight - From “Star” Season 3,0ENnynLqv4Ku8BNAXXZzBm,40.0,0.53,0.845,147707.0,0.657,G#,0.127,-6.529,0.108,120.965,0.633,0
B-Side,2loud,5YHfK0nTnAZRycGoHRAjhv,8.0,0.448,0.724,130022.0,0.281,D,0.109,-7.152,0.23,83.965,0.161,0
Tech N9ne Collabos,"Slow to Me (feat. Krizz Kaliko, Rittz)",1rXRxDkFVKH2SCWRaapZtU,38.0,0.0257,0.776,280863.0,0.805,C#,0.258,-6.37,0.177,140.011,0.559,0
David Tomlinson,"A Man Has Dreams - From ""Mary Poppins""/Soundtrack Version",2kYvTq1NA64nIaWwJi7yEg,39.0,0.901,0.528,268800.0,0.077,D#,0.11,-22.415,0.177,84.083,0.303,0
Erykah Badu,Appletree,2jAn0rAOyLW6hIEuIDNcoT,60.0,0.0931,0.88,265373.0,0.454,G,0.0759,-10.882,0.0773,94.865,0.576,0
India.Arie,Always In My Head,5Qul1lWPc5XPzVM8RweeZc,47.0,0.078,0.67,280733.0,0.603,F,0.351,-8.027,0.0672,148.985,0.681,0
Goldfinger,Stay,73dZQcMwtDDTxN4uNyJVMu,27.0,0.000215,0.263,141773.0,0.895,G,0.139,-8.294,0.0436,150.559,0.714,0
Big Thief,Randy,3g2hYg5jCU1vkrYr9mLxEe,41.0,0.917,0.374,189327.0,0.255,C,0.657,-14.757,0.0394,111.451,0.157,0
Beres Hammond,Tempted To Touch,5CT9ATPA5GSAuvKKOjnjFx,23.0,0.000306,0.707,187933.0,0.841,C,0.0416,-5.741,0.0498,82.198,0.782,0
Jackie Mittoo,Love Is Blue,5wfXBhJvrBqvBSTPzw954D,34.0,0.79,0.553,149413.0,0.322,G,0.178,-12.748,0.0364,88.159,0.284,0
Enrico Caruso,Santa Lucia,6C0rKh1ou1Ee8Ib0jdFnbe,20.0,0.995,0.368,200080.0,0.142,D#,0.244,-13.939,0.0382,98.111,0.471,0
Los De La Nazza,Abracadabra (feat. Kendo Kaponi),0TaZMMTulwD1m6kbN6UCgW,34.0,0.0769,0.658,219767.0,0.729,G#,0.317,-4.974,0.235,172.025,0.457,0
Carter Burwell,"Hello, Mr. Pocket!",5Ggpz9VzDSbsPg5lj4NNYH,33.0,0.571,0.154,137207.0,0.0605,G,0.165,-17.394,0.0417,74.277,0.0377,0
Time Machine,A Million and One Things To Do - Instrumental,59vqOeRwV5wYevUCgyGxgX,32.0,0.00646,0.746,222040.0,0.517,B,0.063,-6.384,0.0519,93.905,0.929,0
Steve Reich,Music for 18 Musicians: Pulses,3qeXCVaC4tO4gS2aPdlRmc,29.0,0.975,0.582,326467.0,0.612,F#,0.128,-17.168,0.0566,100.898,0.339,0
Antonio Vivaldi,"The Four Seasons - Summer in G Minor, RV. 315: III. Presto",1Ojz92vyPK4fJ5K8RVnV5u,57.0,0.83,0.34,167880.0,0.489,G,0.141,-15.316,0.0412,157.024,0.468,0
Bigg Robb,Good Good,0ICf4hyBcgTszBi90e7Vwm,20.0,0.00662,0.872,221603.0,0.546,F#,0.0651,-4.242,0.0516,106.99,0.806,0
Crossfade,No Giving Up,7M7VUNhN51Fjsu58dLv0EY,50.0,0.000601,0.478,214627.0,0.903,B,0.124,-5.35,0.14,173.967,0.736,0
Black Flag,Depression,1IY4r4CWK4azormFrxK8Xy,21.0,0.0312,0.496,130133.0,0.97,C,0.481,-12.258,0.0504,117.435,0.188,0
Rodney Carrington,Real Fancy Place - Live At The Majestic Theater/2007,3Y7ObBHbzrgBu2vkLcOvoH,23.0,0.864,0.599,60707.0,0.776,F#,0.73,-9.466,0.952,76.852,0.187,0
James Taylor,Secret O' Life,3IGAJam8XPmbBjCAvpCW8N,45.0,0.878,0.723,214227.0,0.206,C,0.0966,-16.78,0.0318,99.561,0.298,0
Kacey Musgraves,Good Ol' Boys Club,4CHyDw5J56I0x40MFk5f2V,51.0,0.261,0.711,196279.0,0.471,C,0.124,-6.832,0.0264,84.99,0.468,0
LAUREL,Fire Breather,0AdpXhpNmnBY7kOPNO1tEL,45.0,0.284,0.71,196555.0,0.354,B,0.183,-15.067,0.171,94.998,0.352,0
Rufus Thomas,Walking the Dog,6iFYsQckCCtGsabW0rXEPn,34.0,0.598,0.805,157760.0,0.442,G#,0.0416,-11.076,0.0337,115.436,0.737,0
The Prodigy,Intro (Remastered),59j7JMBYpke3XnhWCZpovG,37.0,0.00635,0.311,46200.0,0.289,C,0.862,-15.242,0.0363,152.673,0.0785,0
Joyner Lucas,Just Let Go,05u5qeM36BBjaF9lsOyar2,71.0,0.373,0.645,266552.0,0.698,F,0.106,-6.525,0.376,139.867,0.5,0
THEMXXNLIGHT,Start It Right,5UTz4aKbHJkvuchKbwg4jI,46.0,0.04,0.491,278073.0,0.377,A#,0.112,-11.702,0.0532,111.016,0.194,0
Beyoncé,If I Were a Boy,26NX1wPt1TRCH536yocd6i,70.0,0.107,0.632,249147.0,0.518,F#,0.354,-6.126,0.0313,90.007,0.427,0
311,Tune In,5xNDdIJxTu1fiLYonCzOwX,27.0,0.000693,0.473,136533.0,0.835,C,0.41,-6.607,0.0491,92.047,0.525,0
Ryan Leslie,Gibberish,4IcybJvMqsoLeJ8sUhSi8a,43.0,0.448,0.745,261600.0,0.451,F,0.0883,-4.792,0.0636,140.008,0.617,0
311,What The?!,5e1F1cUxpvVxPZHr3YG66g,47.0,0.00187,0.632,214667.0,0.918,E,0.0458,-6.085,0.0622,92.006,0.846,0
Ronny Jordan,The Jackal,55E2AKTFjfje92UkVbEZmO,42.0,0.028,0.814,421493.0,0.472,G,0.345,-11.477,0.21,94.959,0.648,0
