highest_charting_position,number_of_times_charted,track_name,streams,artist_name,artist_followers,track_id,popularity,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,duration_ms,valence,key
1,8,Beggin',48633449.0,Måneskin,3377762.0,3Wrjm47oTz2sjIgck11l5e,100.0,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560.0,0.589,B
2,3,STAY (with Justin Bieber),47248719.0,The Kid LAROI,2230022.0,5HCyWlXZPP0y6Gqq8TgA20,99.0,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806.0,0.478,C#
1,11,good 4 u,40162559.0,Olivia Rodrigo,6266514.0,4ZtFanR9U6ndgddUvNcjcG,99.0,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147.0,0.688,A
3,5,Bad Habits,37799456.0,Ed Sheeran,83293380.0,6PQ88X9TkUIAUIZJHW2upE,98.0,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041.0,0.591,B
5,1,INDUSTRY BABY (feat. Jack Harlow),33948454.0,Lil Nas X,5473565.0,27NovPIUIRrOZoCHxABJwK,96.0,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000.0,0.894,D#
1,18,MONTERO (Call Me By Your Name),30071134.0,Lil Nas X,5473565.0,67BtfxlNbhBmCDR2L2l8qd,97.0,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876.0,0.758,G#
3,16,Kiss Me More (feat. SZA),29356736.0,Doja Cat,8640063.0,748mdHapucXQri7IAO8yFK,94.0,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867.0,0.742,G#
2,10,Todo De Ti,26951613.0,Rauw Alejandro,6080597.0,4fSIb4hdOQ151TILNsSEaF,95.0,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604.0,0.342,D#
3,8,Yonaguni,25030128.0,Bad Bunny,36142273.0,2JPLbjOn0wPCngEot2STUS,96.0,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710.0,0.44,C#
8,10,I WANNA BE YOUR SLAVE,24551591.0,Måneskin,3377762.0,4pt5fDVTg5GhEvEtlz9dKk,95.0,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347.0,0.958,C#
4,43,Levitating (feat. DaBaby),23518010.0,Dua Lipa,27142474.0,463CkQjx2Zk1yXoBuierM9,89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#
9,9,Qué Más Pues?,22405111.0,"J Balvin, Maria Becerra",29051363.0,6hf0RpxTbOprT5nnwzkk8e,95.0,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773.0,0.768,G#
5,3,Permission to Dance,22062812.0,BTS,37106176.0,0LThjFY2iTtNdd4wviwVV2,95.0,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585.0,0.646,A
1,19,Peaches (feat. Daniel Caesar & Giveon),20294457.0,Justin Bieber,48504126.0,4iJyoBOLtHqaGxP12qzhQI,94.0,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082.0,0.464,C
2,10,Butter,19985713.0,BTS,37106176.0,2bgTY4UwhfBYhGT4HUYStN,95.0,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442.0,0.695,G#
7,10,traitor,19480679.0,Olivia Rodrigo,6266514.0,5CZ40GBx1sQ9agT82CLQCT,94.0,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227.0,0.0849,D#
3,17,deja vu,18571755.0,Olivia Rodrigo,6266514.0,6HU7h9RYOaPRFeh0R3UeAr,93.0,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507.0,0.178,D
5,14,Save Your Tears (with Ariana Grande) (Remix),18053141.0,The Weeknd,35305637.0,37BZB0z9T8Xu7U3e65qxFy,94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014.0,0.593,C
14,5,AM Remix,17617965.0,"Nio Garcia, J Balvin, Bad Bunny",2123734.0,05bfbizlM5AX6Mf1RRyMho,93.0,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335.0,0.785,F#
20,7,Need To Know,16908917.0,Doja Cat,8640063.0,3Vi5XqYrmQgOYBajMWSvCi,90.0,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560.0,0.194,C#
19,3,Volando - Remix,16606925.0,"Mora, Bad Bunny, Sech",151486.0,0G2zPzWqVjR68iNPmx2TBe,91.0,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474.0,0.632,F#
22,5,Ain't Shit,16126897.0,Doja Cat,8640063.0,5lAnYvAIkSDNXqfo7DyFUm,90.0,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253.0,0.619,D#
1,29,drivers license,15684978.0,Olivia Rodrigo,6266514.0,5wANPM4fQCJwkGd4rN57mH,92.0,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013.0,0.137,A#
24,31,Heat Waves,15089184.0,Glass Animals,1890510.0,3USxtqRwSYz57Ewm6wWRMp,85.0,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805.0,0.531,B
